depth,sand,event index,median_age,min_age,max_age,data_site
NaN,NaN,0,1592.40,NaN,NaN,Basin Bayou2
133.5,1.4747,0,1589.50,1541.9,1632.8,Basin Bayou2
134.5,3.9033,0,1587.30,1540.2,1631.1,Basin Bayou2
135.5,8.1887,1,1587.30,1540.2,1631.1,Basin Bayou2
136.5,4.2013,0,1585.10,1537.8,1630,Basin Bayou2
137.5,7.5783,0,1582.80,1535.4,1628.9,Basin Bayou2
138.5,7.9417,0,1582.80,1535.4,1628.9,Basin Bayou2
139.5,6.9337,1,1582.80,1535.4,1628.9,Basin Bayou2
140.5,3.6448,0,1580.80,1533.8,1626.8,Basin Bayou2
141.5,2.7905,0,1576.70,1529.9,1623.3,Basin Bayou2
142.5,2.1454,0,1572.70,1526,1619.9,Basin Bayou2
143.5,1.5077,0,1568.60,1522.1,1616.2,Basin Bayou2
144.5,0.4724,0,1564.60,1518.4,1612.4,Basin Bayou2
145.5,0.8461,0,1560.70,1515,1608.5,Basin Bayou2
146.5,1.4664,0,1556.70,1511.6,1604.5,Basin Bayou2
NaN,NaN,0,1554.10,NaN,NaN,Basin Bayou2
147.5,1.5702,0,1552.70,1508.2,1600.4,Basin Bayou2
148.5,0.5131,0,1548.80,1504.7,1596.2,Basin Bayou2
149.5,0.2829,0,1545.00,1501.2,1592,Basin Bayou2
150.5,0.6315,0,1541.00,1497.6,1587.6,Basin Bayou2
151.5,1.0052,0,1536.80,1493.6,1582.7,Basin Bayou2
152.5,0.2715,0,1532.80,1489.7,1578.2,Basin Bayou2
153.5,0.3341,0,1528.80,1486.3,1574,Basin Bayou2
154.5,0.2671,0,1524.90,1483.3,1569.6,Basin Bayou2
155.5,0.227,0,1521.00,1480.2,1565,Basin Bayou2
156.5,0.0842,0,1517.00,1476.7,1560.2,Basin Bayou2
157.5,1.2228,0,1513.10,1472.8,1555.4,Basin Bayou2
158.5,1.406,0,1509.10,1468.9,1550.5,Basin Bayou2
159.5,0.4919,0,1505.20,1465.2,1545.8,Basin Bayou2
160.5,0.4005,0,1501.20,1461.5,1541,Basin Bayou2
161.5,0,0,1497.20,1457.8,1536.3,Basin Bayou2
162.5,0,0,1493.20,1454.4,1531.5,Basin Bayou2
163.5,0.7649,0,1489.20,1450.7,1526.3,Basin Bayou2
164.5,0.1633,0,1485.20,1446.9,1521.3,Basin Bayou2
165.5,1.0796,0,1481.40,1443.6,1516.3,Basin Bayou2
166.5,2.1182,0,1477.80,1440.4,1511.4,Basin Bayou2
167.5,10.5971,0,1476.00,1438.9,1508.8,Basin Bayou2
168.5,19.4676,1,1476.00,1438.9,1508.8,Basin Bayou2
169.5,4.7584,0,1474.30,1437.4,1507,Basin Bayou2
170.5,8.075,0,1472.50,1435.8,1505.2,Basin Bayou2
171.5,19.6731,0,1472.50,1435.8,1505.2,Basin Bayou2
172.5,10.888,1,1472.50,1435.8,1505.2,Basin Bayou2
173.5,3.2394,0,1470.80,1434.4,1502.2,Basin Bayou2
174.5,1.2765,0,1467.40,1431.9,1497.3,Basin Bayou2
175.5,0.3076,0,1464.10,1429.3,1492.5,Basin Bayou2
176.5,2.2093,0,1460.80,1426.3,1487.6,Basin Bayou2
177.5,19.8264,0,1459.10,1424.6,1485.7,Basin Bayou2
178.5,54.4723,0,1459.10,1424.6,1485.7,Basin Bayou2
179.5,33.0951,0,1459.10,1424.6,1485.7,Basin Bayou2
180.5,33.2145,0,1459.10,1424.6,1485.7,Basin Bayou2
181.5,20.2764,0,1459.10,1424.6,1485.7,Basin Bayou2
182.5,15.6144,0,1459.10,1424.6,1485.7,Basin Bayou2
183.5,9.7039,1,1459.10,1424.6,1485.7,Basin Bayou2
184.5,6.6055,0,1456.70,1422.4,1482.2,Basin Bayou2
185.5,5.0508,0,1451.70,1417.3,1476.5,Basin Bayou2
NaN,NaN,0,1449.70,NaN,NaN,Basin Bayou2
186.5,11.7684,0,1449.20,1414.4,1474.3,Basin Bayou2
187.5,16.7435,1,1449.20,1414.4,1474.3,Basin Bayou2
188.5,12.2324,0,1445.80,1411.1,1469.7,Basin Bayou2
NaN,NaN,0,1445.00,NaN,NaN,Basin Bayou2
189.5,15.3599,0,1442.40,1407.7,1465.1,Basin Bayou2
190.5,15.3909,0,1442.40,1407.7,1465.1,Basin Bayou2
191.5,12.1314,0,1442.40,1407.7,1465.1,Basin Bayou2
192.5,11.4492,1,1442.40,1407.7,1465.1,Basin Bayou2
193.5,1.4748,0,1438.90,1402.5,1462.8,Basin Bayou2
194.5,2.4361,0,1430.10,1391.3,1456.5,Basin Bayou2
195.5,2.7195,0,1419.40,1375.5,1450.5,Basin Bayou2
NaN,NaN,0,1418.30,NaN,NaN,Basin Bayou2
196.5,8.8134,0,1414.10,1365.7,1448.4,Basin Bayou2
197.5,9.7822,0,1414.10,1365.7,1448.4,Basin Bayou2
198.5,8.9475,1,1414.10,1365.7,1448.4,Basin Bayou2
NaN,NaN,0,1413.80,NaN,NaN,Basin Bayou2
