depth,sand,event index,median_age,min_age,max_age,data_site
201.5,42.9000,0,,,,Laguna Playa Grande
202.5,48.3000,0,,,,Laguna Playa Grande
203.5,48.7000,0,,,,Laguna Playa Grande
204.5,48.5000,0,,,,Laguna Playa Grande
205.5,48.2000,0,,,,Laguna Playa Grande
206.5,44.6000,0,,,,Laguna Playa Grande
207.5,43.6000,0,,,,Laguna Playa Grande
208.5,46.7000,0,,,,Laguna Playa Grande
209.5,82.4000,0,,,,Laguna Playa Grande
210.5,96.4000,0,,,,Laguna Playa Grande
211.5,107.1000,1,,,,Laguna Playa Grande
212.5,76.5000,0,,,,Laguna Playa Grande
213.5,37.7000,0,,,,Laguna Playa Grande
214.5,48.2000,0,,,,Laguna Playa Grande
215.5,47.3000,0,,,,Laguna Playa Grande
216.5,46.6000,0,,,,Laguna Playa Grande
217.5,62.1000,0,,,,Laguna Playa Grande
218.5,43.4000,0,,,,Laguna Playa Grande
219.5,49.8000,0,,,,Laguna Playa Grande
220.5,46.6000,0,,,,Laguna Playa Grande
221.5,99.4000,0,,,,Laguna Playa Grande
222.5,57.0000,0,,,,Laguna Playa Grande
223.5,34.5000,0,,,,Laguna Playa Grande
224.5,42.8000,0,,,,Laguna Playa Grande
225.5,125.7000,1,,,,Laguna Playa Grande
226.5,46.4000,0,,,,Laguna Playa Grande
227.5,46.3000,0,,,,Laguna Playa Grande
228.5,62.7000,0,,,,Laguna Playa Grande
229.5,50.7000,0,,,,Laguna Playa Grande
230.5,44.3000,0,,,,Laguna Playa Grande
231.5,56.0000,0,,,,Laguna Playa Grande
232.5,55.4000,0,,,,Laguna Playa Grande
233.5,52.9000,0,,,,Laguna Playa Grande
234.5,53.1000,0,,,,Laguna Playa Grande
235.5,45.3000,0,,,,Laguna Playa Grande
236.5,46.8000,0,,,,Laguna Playa Grande
237.5,45.5000,0,,,,Laguna Playa Grande
238.5,39.3000,0,,,,Laguna Playa Grande
239.5,42.2000,0,,,,Laguna Playa Grande
240.5,45.7000,0,,,,Laguna Playa Grande
241.5,59.9000,1,,,,Laguna Playa Grande
242.5,38.0000,0,,,,Laguna Playa Grande
243.5,40.3000,0,,,,Laguna Playa Grande
244.5,38.6000,0,,,,Laguna Playa Grande
245.5,38.7000,0,,,,Laguna Playa Grande
246.5,32.6000,0,,,,Laguna Playa Grande
247.5,34.3000,0,,,,Laguna Playa Grande
248.5,41.3000,0,,,,Laguna Playa Grande
249.5,48.7000,0,,,,Laguna Playa Grande
250.5,45.1000,0,,,,Laguna Playa Grande
251.5,54.1000,0,,,,Laguna Playa Grande
252.5,50.5000,0,,,,Laguna Playa Grande
253.5,40.6000,0,,,,Laguna Playa Grande
254.5,40.7000,0,,,,Laguna Playa Grande
255.5,41.2000,0,,,,Laguna Playa Grande
256.5,41.0000,0,,,,Laguna Playa Grande
257.5,47.1000,0,,,,Laguna Playa Grande
258.5,48.1000,0,,,,Laguna Playa Grande
259.5,51.3000,0,,,,Laguna Playa Grande
260.5,38.8000,0,,,,Laguna Playa Grande
261.5,30.1000,0,,,,Laguna Playa Grande
262.5,26.5000,0,,,,Laguna Playa Grande
263.5,36.3000,0,,,,Laguna Playa Grande
264.5,33.9000,0,,,,Laguna Playa Grande
265.5,44.5000,0,,,,Laguna Playa Grande
266.5,46.6000,0,,,,Laguna Playa Grande
267.5,36.8000,0,,,,Laguna Playa Grande
268.5,63.4000,1,,,,Laguna Playa Grande
269.5,45.2000,0,,,,Laguna Playa Grande
270.5,55.7000,0,,,,Laguna Playa Grande
271.5,56.6000,0,,,,Laguna Playa Grande
272.5,50.6000,0,,,,Laguna Playa Grande
273.5,44.6000,0,,,,Laguna Playa Grande
274.5,43.9000,0,,,,Laguna Playa Grande
275.5,44.9000,0,,,,Laguna Playa Grande
276.5,43.3000,0,,,,Laguna Playa Grande
277.5,45.2000,0,,,,Laguna Playa Grande
278.5,55.0000,0,,,,Laguna Playa Grande
279.5,50.9000,0,,,,Laguna Playa Grande
280.5,52.3000,0,,,,Laguna Playa Grande
281.5,40.7000,0,,,,Laguna Playa Grande
282.5,35.5000,0,,,,Laguna Playa Grande
283.5,28.7000,0,,,,Laguna Playa Grande
284.5,34.0000,0,,,,Laguna Playa Grande
285.5,32.7000,0,,,,Laguna Playa Grande
286.5,39.5000,0,,,,Laguna Playa Grande
287.5,40.8000,0,,,,Laguna Playa Grande
288.5,36.1000,0,,,,Laguna Playa Grande
289.5,32.4000,0,,,,Laguna Playa Grande
290.5,38.1000,0,,,,Laguna Playa Grande
291.5,40.0000,0,,,,Laguna Playa Grande
292.5,27.0000,0,,,,Laguna Playa Grande
293.5,53.2000,0,,,,Laguna Playa Grande
294.5,40.0000,0,,,,Laguna Playa Grande
295.5,51.4000,0,,,,Laguna Playa Grande
296.5,48.1000,0,,,,Laguna Playa Grande
297.5,46.0000,0,,,,Laguna Playa Grande
298.5,62.1000,0,,,,Laguna Playa Grande
299.5,75.9000,1,,,,Laguna Playa Grande
300.5,48.6000,0,,,,Laguna Playa Grande
301.5,50.0000,0,,,,Laguna Playa Grande
302.5,59.1000,0,,,,Laguna Playa Grande
303.5,37.1000,0,,,,Laguna Playa Grande
304.5,54.4000,0,,,,Laguna Playa Grande
305.5,64.4000,0,,,,Laguna Playa Grande
306.5,56.8000,0,,,,Laguna Playa Grande
307.5,42.6000,0,,,,Laguna Playa Grande
308.5,50.3000,0,,,,Laguna Playa Grande
309.5,54.6000,0,,,,Laguna Playa Grande
310.5,35.4000,0,,,,Laguna Playa Grande
311.5,48.3000,0,,,,Laguna Playa Grande
312.5,59.2000,0,,,,Laguna Playa Grande
313.5,55.3000,0,,,,Laguna Playa Grande
314.5,51.6000,0,,,,Laguna Playa Grande
315.5,47.8000,0,,,,Laguna Playa Grande
316.5,48.1000,0,,,,Laguna Playa Grande
317.5,165.3000,1,,,,Laguna Playa Grande
318.5,56.8000,0,,,,Laguna Playa Grande
319.5,42.7000,0,,,,Laguna Playa Grande
320.5,58.3000,0,,,,Laguna Playa Grande
321.5,60.1000,0,,,,Laguna Playa Grande
322.5,60.1000,0,,,,Laguna Playa Grande
323.5,93.4000,1,,,,Laguna Playa Grande
324.5,71.5000,0,,,,Laguna Playa Grande
325.5,62.8000,0,,,,Laguna Playa Grande
326.5,50.0000,0,,,,Laguna Playa Grande
327.5,60.8000,0,,,,Laguna Playa Grande
328.5,50.6000,0,,,,Laguna Playa Grande
329.5,46.1000,0,,,,Laguna Playa Grande
330.5,63.8000,0,,,,Laguna Playa Grande
331.5,50.1000,0,,,,Laguna Playa Grande
332.5,63.2000,0,,,,Laguna Playa Grande
333.5,61.6000,0,,,,Laguna Playa Grande
334.5,49.5000,0,,,,Laguna Playa Grande
335.5,38.9000,0,,,,Laguna Playa Grande
336.5,40.7000,0,,,,Laguna Playa Grande
337.5,43.0000,0,,,,Laguna Playa Grande
338.5,51.2000,0,,,,Laguna Playa Grande
339.5,54.7000,0,,,,Laguna Playa Grande
340.5,73.8000,0,,,,Laguna Playa Grande
341.5,50.7000,0,,,,Laguna Playa Grande
342.5,63.5000,0,,,,Laguna Playa Grande
343.5,55.0000,0,,,,Laguna Playa Grande
